,CoinName,0,1,class
6,Dash,18.078733,-8.155466,0
16,Spreadcoin,8.378455,-11.216591,0
33,CryptCoin,7.97302,-11.41326,0
45,FeatherCoin,9.344111,-3.1704528,0
52,IOCoin,18.558588,-9.038732,0
69,Orbitcoin,9.697221,-2.8683617,0
77,SyncCoin,17.802683,-8.993225,0
82,TorCoin,17.889273,-8.378004,0
86,UroCoin,7.797997,-11.62342,0
93,X11 Coin,18.238377,-9.495859,0
118,CypherPunkCoin,4.6763344,-3.0431929,0
126,IslaCoin,17.982079,-9.328009,0
128,MarsCoin ,7.8396,-11.48263,0
132,BowsCoin,8.286001,-11.159593,0
133,Squall Coin,13.706894,-8.056458,0
142,MindCoin,8.129007,-11.219643,0
144,Decred,7.010512,1.3217311,0
148,Hitcoin,19.355814,-6.3882213,0
155,Adzcoin,8.779416,-11.251712,0
159,EuropeCoin,19.690804,-8.5715,0
165,BolivarCoin,8.064123,-12.345986,0
166,Ratecoin,19.052538,-8.080889,0
170,BitSend,18.778986,-8.246204,0
177,PizzaCoin,8.402217,-11.797113,0
180,GoldBlocks,18.56873,-8.694236,0
185,MustangCoin,17.797565,-8.868212,0
197,Halloween Coin,20.003372,-6.7930837,0
207,InsaneCoin,19.096731,-9.430268,0
209,ArtexCoin,8.945585,-11.413841,0
211,XenixCoin,18.030975,-9.301643,0
215,Kurrent,9.132682,-11.659072,0
217,Eternity,18.472292,-8.656563,0
220,Stakenet,11.767627,-11.166288,0
223,Enigma,17.803707,-8.644833,0
230,LiteCreed,4.745588,-2.9937086,0
236,KushCoin,18.438341,-9.616984,0
238,PacCoin,8.68304,-12.978209,0
245,VaultCoin,8.880153,-12.330312,0
252,VirtacoinPlus,18.472824,-8.033173,0
254,Impact,19.464808,-8.719834,0
257,HappyCoin,18.525024,-8.029924,0
260,Condensate,19.964315,-7.977358,0
265,GoldReserve,19.18006,-9.381069,0
276,Espers,62.794476,-0.6320453,0
282,DigitalPrice,8.540156,-11.842757,0
288,ArcticCoin,8.667056,-11.207847,0
289,DAS,7.7672524,-11.89847,0
295,SmartCash,14.808994,0.65643543,0
297,Onix,8.705707,-12.378841,0
300,Monoeci,18.023262,-8.286009,0
315,Regalcoin,18.833864,-9.579503,0
317,TrezarCoin,9.697205,-2.8683727,0
318,Elements,8.60238,-12.409193,0
320,VIVO Coin,9.344157,-3.1703749,0
334,Pura,9.094951,-11.561299,0
335,Innova,9.344156,-3.1703756,0
337,GoByte,9.344157,-3.170375,0
338,Magnet,19.070587,-8.572521,0
349,AC3,9.135057,-11.877288,0
354,PhantomX,19.082458,-8.9510765,0
355,Photon,6.9610944,1.2756925,0
356,Sucre,7.7707787,-11.943233,0
357,SparksPay,9.344158,-3.1703744,0
359,GunCoin,9.344193,-3.1704314,0
364,Pioneer Coin,8.138001,-12.371643,0
382,Crypto Improvement Fund,9.060217,-12.174002,0
385,Pushi,18.631643,-9.592198,0
403,FuturoCoin,9.115654,-12.11544,0
411,Bitcoin Incognito,13.698778,-8.0513,0
431,Axe,7.876593,-12.209893,0
445,EUNO,19.285141,-9.231895,0
449,XDNA,14.830115,0.69933635,0
451,Azart,8.139628,-12.360191,0
475,SLICE,4.6763344,-3.0431929,0
480,Award,19.730742,-8.436038,0
484,Insane Coin,18.633518,-8.911847,0
488,TruckCoin,19.220314,-7.9453125,0
489,UFO Coin,9.344574,-3.170849,0
495,PinkCoin,20.232565,-7.2728515,0
499,Piggy Coin,20.079206,-6.8567553,0
505,CapriCoin,19.661386,-8.056707,0
510,Creditbit ,13.744668,-11.051223,0
515,FriendshipCoin,9.697219,-2.8683624,0
